dimension,value,full_count,selected_count,retention_pct
buffer_size,100M,25200,37,0.14682539682539683
buffer_size,20M,25200,19,0.07539682539682539
buffer_size,50M,25200,23,0.09126984126984126
buffer_size,5M,25200,29,0.11507936507936507
density_bin,high,0,0,0.0
density_bin,low,28800,40,0.1388888888888889
density_bin,medium,2400,1,0.041666666666666664
density_bin,very_low,69600,67,0.09626436781609195
group_structure,cluster_nomadic,20160,20,0.0992063492063492
group_structure,pedestrian_shortestpath_heterogeneous,20160,36,0.17857142857142858
group_structure,pedestrian_transit,20160,27,0.13392857142857142
group_structure,pedestrian_vehicle,20160,9,0.044642857142857144
group_structure,single_homogeneous,20160,16,0.07936507936507936
map_id,HelsinkiDisrupted,21600,30,0.1388888888888889
map_id,HelsinkiDowntown,21600,18,0.08333333333333333
map_id,KallioCommunityCompact,14400,20,0.1388888888888889
map_id,KumpulaCampus,7200,7,0.09722222222222222
map_id,ManhattanMidtownGrid,21600,20,0.09259259259259259
map_id,NuuksioSparseTrails,14400,13,0.09027777777777778
movement_model_primary,BusMovement,14400,23,0.1597222222222222
movement_model_primary,ClusterMovement,7200,12,0.16666666666666666
movement_model_primary,MapRouteMovement,28800,36,0.125
movement_model_primary,ShortestPathMapBasedMovement,43200,35,0.08101851851851852
movement_model_primary,WorkingDayMovement,7200,2,0.027777777777777776
n_hosts,100,8400,11,0.13095238095238096
n_hosts,120,8400,6,0.07142857142857142
n_hosts,150,8400,8,0.09523809523809523
n_hosts,200,8400,12,0.14285714285714285
n_hosts,250,8400,10,0.11904761904761904
n_hosts,30,8400,7,0.08333333333333333
n_hosts,300,8400,17,0.20238095238095238
n_hosts,40,8400,5,0.05952380952380952
n_hosts,50,8400,8,0.09523809523809523
n_hosts,60,8400,7,0.08333333333333333
n_hosts,70,8400,11,0.13095238095238096
n_hosts,80,8400,6,0.07142857142857142
n_hosts_bin,101-150,16800,14,0.08333333333333333
n_hosts_bin,151-200,8400,12,0.14285714285714285
n_hosts_bin,61-100,25200,28,0.1111111111111111
n_hosts_bin,<=60,33600,27,0.08035714285714286
n_hosts_bin,>200,16800,27,0.16071428571428573
scenario_class,HelsinkiDisrupted|ClusterMovement,7200,12,0.16666666666666666
scenario_class,HelsinkiDisrupted|MapRouteMovement,7200,12,0.16666666666666666
scenario_class,HelsinkiDisrupted|ShortestPathMapBasedMovement,7200,6,0.08333333333333333
scenario_class,HelsinkiDowntown|BusMovement,7200,13,0.18055555555555555
scenario_class,HelsinkiDowntown|ShortestPathMapBasedMovement,7200,3,0.041666666666666664
scenario_class,HelsinkiDowntown|WorkingDayMovement,7200,2,0.027777777777777776
scenario_class,KallioCommunityCompact|MapRouteMovement,7200,12,0.16666666666666666
scenario_class,KallioCommunityCompact|ShortestPathMapBasedMovement,7200,8,0.1111111111111111
scenario_class,KumpulaCampus|ShortestPathMapBasedMovement,7200,7,0.09722222222222222
scenario_class,ManhattanMidtownGrid|BusMovement,7200,10,0.1388888888888889
scenario_class,ManhattanMidtownGrid|MapRouteMovement,7200,6,0.08333333333333333
scenario_class,ManhattanMidtownGrid|ShortestPathMapBasedMovement,7200,4,0.05555555555555555
scenario_class,NuuksioSparseTrails|MapRouteMovement,7200,6,0.08333333333333333
scenario_class,NuuksioSparseTrails|ShortestPathMapBasedMovement,7200,7,0.09722222222222222
transmit_range_m,10,16800,13,0.07738095238095238
transmit_range_m,100,16800,17,0.10119047619047619
transmit_range_m,20,16800,14,0.08333333333333333
transmit_range_m,200,16800,32,0.19047619047619047
transmit_range_m,5,16800,13,0.07738095238095238
transmit_range_m,50,16800,19,0.1130952380952381
