scenario_name,scenario_base,family,traffic_profile_id,benchmark_split,revision_action,change_map,change_mobility,change_tp,settings_file
C1_Campus_ClassChange__TP01_Baseline,C1_Campus_ClassChange,02_campus,TP01,main,modificar_tp,no,no,si_TP04_06,scenarios/corpus_v1/02_campus/C1_Campus_ClassChange__TP01_Baseline.settings
C1_Campus_ClassChange__TP02_LowLoad,C1_Campus_ClassChange,02_campus,TP02,main,modificar_tp,no,no,si_TP04_06,scenarios/corpus_v1/02_campus/C1_Campus_ClassChange__TP02_LowLoad.settings
C1_Campus_ClassChange__TP03_ManySmall,C1_Campus_ClassChange,02_campus,TP03,main,modificar_tp,no,no,si_TP04_06,scenarios/corpus_v1/02_campus/C1_Campus_ClassChange__TP03_ManySmall.settings
C1_Campus_ClassChange__TP04_FewLarge,C1_Campus_ClassChange,02_campus,TP04,stress,modificar_tp,no,no,si_TP04_06,scenarios/corpus_v1/02_campus/C1_Campus_ClassChange__TP04_FewLarge.settings
C1_Campus_ClassChange__TP05_CriticalTTL,C1_Campus_ClassChange,02_campus,TP05,stress,modificar_tp,no,no,si_TP04_06,scenarios/corpus_v1/02_campus/C1_Campus_ClassChange__TP05_CriticalTTL.settings
C1_Campus_ClassChange__TP06_OneToMany,C1_Campus_ClassChange,02_campus,TP06,stress,modificar_tp,no,no,si_TP04_06,scenarios/corpus_v1/02_campus/C1_Campus_ClassChange__TP06_OneToMany.settings
C1_Campus_ClassChange__TP07_BurstWindow,C1_Campus_ClassChange,02_campus,TP07,main,modificar_tp,no,no,si_TP04_06,scenarios/corpus_v1/02_campus/C1_Campus_ClassChange__TP07_BurstWindow.settings
C1_Campus_ClassChange__TP08_HubTarget,C1_Campus_ClassChange,02_campus,TP08,main,modificar_tp,no,no,si_TP04_06,scenarios/corpus_v1/02_campus/C1_Campus_ClassChange__TP08_HubTarget.settings
C1_Campus_ClassChange__TP09_Bimodal,C1_Campus_ClassChange,02_campus,TP09,stress,modificar_tp,no,no,si_TP04_06,scenarios/corpus_v1/02_campus/C1_Campus_ClassChange__TP09_Bimodal.settings
C1_Campus_ClassChange__TP10_Storm,C1_Campus_ClassChange,02_campus,TP10,stress,modificar_tp,no,no,si_TP04_06,scenarios/corpus_v1/02_campus/C1_Campus_ClassChange__TP10_Storm.settings
C1_Campus_ClassChange__TP11_ManyToOne,C1_Campus_ClassChange,02_campus,TP11,stress,modificar_tp,no,no,si_TP04_06,scenarios/corpus_v1/02_campus/C1_Campus_ClassChange__TP11_ManyToOne.settings
C1_Campus_ClassChange__TP12_GroupToGroup,C1_Campus_ClassChange,02_campus,TP12,control,modificar_tp,no,no,si_TP04_06,scenarios/corpus_v1/02_campus/C1_Campus_ClassChange__TP12_GroupToGroup.settings
C2_ExamDay_LongStays__TP01_Baseline,C2_ExamDay_LongStays,02_campus,TP01,main,modificar_tp,no,no,si_TP04_06,scenarios/corpus_v1/02_campus/C2_ExamDay_LongStays__TP01_Baseline.settings
C2_ExamDay_LongStays__TP02_LowLoad,C2_ExamDay_LongStays,02_campus,TP02,main,modificar_tp,no,no,si_TP04_06,scenarios/corpus_v1/02_campus/C2_ExamDay_LongStays__TP02_LowLoad.settings
C2_ExamDay_LongStays__TP03_ManySmall,C2_ExamDay_LongStays,02_campus,TP03,main,modificar_tp,no,no,si_TP04_06,scenarios/corpus_v1/02_campus/C2_ExamDay_LongStays__TP03_ManySmall.settings
C2_ExamDay_LongStays__TP04_FewLarge,C2_ExamDay_LongStays,02_campus,TP04,stress,modificar_tp,no,no,si_TP04_06,scenarios/corpus_v1/02_campus/C2_ExamDay_LongStays__TP04_FewLarge.settings
C2_ExamDay_LongStays__TP05_CriticalTTL,C2_ExamDay_LongStays,02_campus,TP05,stress,modificar_tp,no,no,si_TP04_06,scenarios/corpus_v1/02_campus/C2_ExamDay_LongStays__TP05_CriticalTTL.settings
C2_ExamDay_LongStays__TP06_OneToMany,C2_ExamDay_LongStays,02_campus,TP06,stress,modificar_tp,no,no,si_TP04_06,scenarios/corpus_v1/02_campus/C2_ExamDay_LongStays__TP06_OneToMany.settings
C2_ExamDay_LongStays__TP07_BurstWindow,C2_ExamDay_LongStays,02_campus,TP07,main,modificar_tp,no,no,si_TP04_06,scenarios/corpus_v1/02_campus/C2_ExamDay_LongStays__TP07_BurstWindow.settings
C2_ExamDay_LongStays__TP08_HubTarget,C2_ExamDay_LongStays,02_campus,TP08,main,modificar_tp,no,no,si_TP04_06,scenarios/corpus_v1/02_campus/C2_ExamDay_LongStays__TP08_HubTarget.settings
C2_ExamDay_LongStays__TP09_Bimodal,C2_ExamDay_LongStays,02_campus,TP09,stress,modificar_tp,no,no,si_TP04_06,scenarios/corpus_v1/02_campus/C2_ExamDay_LongStays__TP09_Bimodal.settings
C2_ExamDay_LongStays__TP10_Storm,C2_ExamDay_LongStays,02_campus,TP10,stress,modificar_tp,no,no,si_TP04_06,scenarios/corpus_v1/02_campus/C2_ExamDay_LongStays__TP10_Storm.settings
C2_ExamDay_LongStays__TP11_ManyToOne,C2_ExamDay_LongStays,02_campus,TP11,stress,modificar_tp,no,no,si_TP04_06,scenarios/corpus_v1/02_campus/C2_ExamDay_LongStays__TP11_ManyToOne.settings
C2_ExamDay_LongStays__TP12_GroupToGroup,C2_ExamDay_LongStays,02_campus,TP12,control,modificar_tp,no,no,si_TP04_06,scenarios/corpus_v1/02_campus/C2_ExamDay_LongStays__TP12_GroupToGroup.settings
C3_Hackathon_24h__TP01_Baseline,C3_Hackathon_24h,02_campus,TP01,main,modificar_tp,no,no,si_TP04_06,scenarios/corpus_v1/02_campus/C3_Hackathon_24h__TP01_Baseline.settings
C3_Hackathon_24h__TP02_LowLoad,C3_Hackathon_24h,02_campus,TP02,main,modificar_tp,no,no,si_TP04_06,scenarios/corpus_v1/02_campus/C3_Hackathon_24h__TP02_LowLoad.settings
C3_Hackathon_24h__TP03_ManySmall,C3_Hackathon_24h,02_campus,TP03,main,modificar_tp,no,no,si_TP04_06,scenarios/corpus_v1/02_campus/C3_Hackathon_24h__TP03_ManySmall.settings
