file,status,regenerated,exists,used_in_wiki,notes
data/features.csv,OK,yes,yes,yes,
data/features_normalized.csv,OK,yes,yes,yes,
data/features_reduced.csv,OK,yes,yes,yes,
data/features_core.csv,OK,yes,yes,yes,
data/normalization_params.csv,OK,yes,yes,yes,
data/correlation_pearson.csv,OK,yes,yes,yes,
data/correlation_spearman.csv,OK,yes,yes,yes,
data/distance_cosine.csv,OK,yes,yes,yes,
data/distance_euclidean.csv,OK,yes,yes,yes,
data/correlation_pearson_core23.csv,OK,yes,yes,yes,
data/distance_cosine_core23.csv,OK,yes,yes,yes,
data/feature_feature_correlation_core.csv,OK,yes,yes,yes,
data/ablation_metrics.csv,OK,yes,yes,yes,
data/cluster_assignments.csv,OK,yes,yes,yes,
data/cluster_assignments_core23.csv,OK,yes,yes,yes,
data/diversity_correlation_wiki_summary.csv,OK,yes,yes,partial,
reports/RESULTADOS_ACTUALES.md,OK,yes,yes,yes,
reports/pipeline/features_report.md,OK,yes,yes,yes,
reports/pipeline/correlation_report.txt,OK,yes,yes,yes,
reports/pipeline/correlation_core23_report.txt,OK,yes,yes,yes,
reports/pipeline/feature_feature_correlation_report.txt,OK,yes,yes,yes,
reports/pipeline/ablation_report.txt,OK,yes,yes,yes,
reports/pipeline/clustering_report.txt,OK,yes,yes,yes,
reports/pipeline/multiple_comparisons_report.txt,OK,yes,yes,yes,
figures/histogram_correlations_pearson.png,OK,yes,yes,yes,
figures/histogram_correlations_spearman.png,OK,yes,yes,yes,
figures/heatmap_feature_feature_core.png,OK,yes,yes,yes,
figures/aggregated/pearson_block_heatmap_ordered.png,OK,yes,yes,yes,
figures/by_space/heatmap_pearson_core_23.png,OK,yes,yes,yes,
figures/aggregated/correlation_ablation_histogram_compare.png,OK,yes,yes,yes,
figures/paper/main/ablation_pairs_high_bar.png,OK,yes,yes,yes,
figures/paper/main/ablation_silhouette_bar.png,OK,yes,yes,yes,
figures/paper/main/pca_by_family.png,OK,yes,yes,yes,
figures/paper/main/histogram_correlations_pearson_paper.png,OK,yes,yes,yes,
figures/heatmap_pearson.png,OK,partial,yes,yes,legacy full N×N; figures phase skips n>100
.wiki-clone/07-Diversity-and-Correlation-Demonstration.md,OK,n/a,yes,yes,created 2026-05-28
.wiki-clone/Home.md,OK,n/a,yes,yes,nav link added
.wiki-clone/04-Usage.md,OK,n/a,yes,yes,diversity pipeline section updated
